symbol,datetime,open,high,low,close,volume
RELIANCE,2026-01-01 09:22:00,1577.3,1577.7,1576.7,1577,10985
RELIANCE,2026-01-01 09:23:00,1577,1578.8,1576.9,1577.4,20769
RELIANCE,2026-01-01 09:24:00,1577.9,1579.9,1577.8,1579.5,28871
RELIANCE,2026-01-01 09:25:00,1579.8,1583,1579.5,1582.8,54903
RELIANCE,2026-01-01 09:26:00,1582.3,1583.5,1581,1581,32863
RELIANCE,2026-01-01 09:27:00,1581.5,1583.7,1581.3,1583.1,26554
RELIANCE,2026-01-01 09:28:00,1583.1,1587.8,1583.1,1587.6,104752
RELIANCE,2026-01-01 09:29:00,1587.5,1589.6,1587.1,1588.1,70039
RELIANCE,2026-01-01 09:30:00,1588.5,1591,1587.5,1589.9,95012
RELIANCE,2026-01-01 09:31:00,1590.5,1590.5,1587,1589,70366
RELIANCE,2026-01-01 09:32:00,1589.6,1590.6,1589,1589.4,45122
RELIANCE,2026-01-01 09:33:00,1589.6,1592.5,1589.1,1589.4,80406
RELIANCE,2026-01-01 09:34:00,1588.9,1589.9,1588,1588.3,27584
RELIANCE,2026-01-01 09:35:00,1588.3,1589,1588.1,1589,9976
RELIANCE,2026-01-01 09:36:00,1589,1589.7,1588.2,1589,10206
RELIANCE,2026-01-01 09:37:00,1589,1589.6,1588,1589,14923
RELIANCE,2026-01-01 09:38:00,1588.9,1589,1587.4,1587.5,7251
RELIANCE,2026-01-01 09:39:00,1588,1588,1586.6,1588,18094
RELIANCE,2026-01-01 09:40:00,1587.5,1587.9,1587,1587.5,8829
RELIANCE,2026-01-01 09:41:00,1587.9,1587.9,1586.3,1586.5,8549
RELIANCE,2026-01-01 09:42:00,1586.7,1587.4,1586,1586.6,12633
RELIANCE,2026-01-01 09:43:00,1586.7,1587,1586,1586.9,9191
RELIANCE,2026-01-01 09:44:00,1586.2,1586.9,1585.2,1586,15680
RELIANCE,2026-01-01 09:45:00,1585.2,1586.3,1584.3,1584.4,22407
RELIANCE,2026-01-01 09:46:00,1584.9,1585.9,1584.3,1584.8,12864
RELIANCE,2026-01-01 09:47:00,1584.8,1585.5,1584.4,1584.4,8620
RELIANCE,2026-01-01 09:48:00,1584.8,1585.4,1584.5,1584.8,7192
RELIANCE,2026-01-01 09:49:00,1584.6,1584.8,1584.4,1584.5,4456
RELIANCE,2026-01-01 09:50:00,1584.8,1585,1584.5,1584.5,6624
RELIANCE,2026-01-01 09:51:00,1584.5,1585,1584.1,1584.7,13308
RELIANCE,2026-01-01 09:52:00,1584.6,1584.6,1584.1,1584.2,7462
RELIANCE,2026-01-01 09:53:00,1584.1,1584.5,1583.2,1584.5,31904
RELIANCE,2026-01-01 09:54:00,1584.2,1584.5,1583.3,1583.7,7955
RELIANCE,2026-01-01 09:55:00,1584.3,1585,1584.2,1585,8357
RELIANCE,2026-01-01 09:56:00,1584.6,1586.6,1584.6,1585.5,25782
RELIANCE,2026-01-01 09:57:00,1585.9,1586.9,1585.4,1585.6,19396
RELIANCE,2026-01-01 09:58:00,1585.9,1585.9,1584.1,1584.8,8909
RELIANCE,2026-01-01 09:59:00,1584.4,1584.8,1582.9,1583.1,18923
RELIANCE,2026-01-01 10:00:00,1583.5,1583.7,1582.9,1583.6,2779
RELIANCE,2026-01-01 10:01:00,1583.9,1584.7,1583.5,1583.5,13022
RELIANCE,2026-01-01 10:02:00,1583.5,1584.5,1582.6,1584.4,13173
RELIANCE,2026-01-01 10:03:00,1584,1584.5,1584,1584.5,2564
RELIANCE,2026-01-01 10:04:00,1584.5,1585.5,1584.5,1585.4,15926
RELIANCE,2026-01-01 10:05:00,1585.8,1585.9,1585.1,1585.5,8105
RELIANCE,2026-01-01 10:06:00,1585.6,1586,1585.1,1586,6091
RELIANCE,2026-01-01 10:07:00,1585.6,1587.5,1585.5,1587,40336
RELIANCE,2026-01-01 10:08:00,1587.1,1587.5,1586.1,1586.7,46594
RELIANCE,2026-01-01 10:09:00,1586.1,1587.2,1585.5,1585.6,22546
RELIANCE,2026-01-01 10:10:00,1585.6,1585.6,1584.7,1585.1,4736
RELIANCE,2026-01-01 10:11:00,1585.4,1585.4,1583.7,1583.7,6353
RELIANCE,2026-01-01 10:12:00,1583.7,1583.9,1582.4,1583,16509
RELIANCE,2026-01-01 10:13:00,1582.9,1583,1582.5,1582.6,4590
RELIANCE,2026-01-01 10:14:00,1582.8,1583.3,1582.2,1582.2,5889
RELIANCE,2026-01-01 10:15:00,1582.5,1582.9,1581.7,1582,9657
RELIANCE,2026-01-01 10:16:00,1582,1582.6,1581.5,1582.6,6350
RELIANCE,2026-01-01 10:17:00,1582.6,1582.6,1581.1,1581.9,13951
RELIANCE,2026-01-01 10:18:00,1581.9,1582,1581.2,1581.2,5375
RELIANCE,2026-01-01 10:19:00,1581.2,1581.2,1580.4,1580.6,18386
RELIANCE,2026-01-01 10:20:00,1580.6,1581,1580.6,1580.6,5694
RELIANCE,2026-01-01 10:21:00,1580.6,1580.9,1580,1580.2,16405
RELIANCE,2026-01-01 10:22:00,1580.1,1580.5,1579.5,1579.9,14390
RELIANCE,2026-01-01 10:23:00,1579.9,1580.4,1579.6,1579.9,5711
RELIANCE,2026-01-01 10:24:00,1580.3,1581,1580.1,1581,7892
RELIANCE,2026-01-01 10:25:00,1580.4,1581.3,1580.4,1581.3,3378
RELIANCE,2026-01-01 10:26:00,1581.3,1581.9,1581.3,1581.8,7585
RELIANCE,2026-01-01 10:27:00,1581.5,1582,1581.4,1581.4,6099
RELIANCE,2026-01-01 10:28:00,1581,1581.6,1581,1581.5,2357
RELIANCE,2026-01-01 10:29:00,1581.5,1582.9,1581.5,1582.9,11056
RELIANCE,2026-01-01 10:30:00,1582.9,1583.4,1581.3,1581.5,9688
RELIANCE,2026-01-01 10:31:00,1582,1582,1580.4,1580.9,10547
RELIANCE,2026-01-01 10:32:00,1581,1581.6,1580.4,1580.6,5304
RELIANCE,2026-01-01 10:33:00,1581,1581.8,1580.6,1581.8,5616
RELIANCE,2026-01-01 10:34:00,1581.9,1581.9,1581.1,1581.2,2502
RELIANCE,2026-01-01 10:35:00,1581.2,1581.6,1581.1,1581.6,2020
RELIANCE,2026-01-01 10:36:00,1581.1,1581.2,1580,1580.2,10977
RELIANCE,2026-01-01 10:37:00,1580.2,1580.8,1578.9,1579.1,45945
RELIANCE,2026-01-01 10:38:00,1579.1,1579.7,1578.9,1579,3833
RELIANCE,2026-01-01 10:39:00,1579,1580,1578.9,1579.7,13627
RELIANCE,2026-01-01 10:40:00,1579.9,1580,1578.6,1578.8,5858
RELIANCE,2026-01-01 10:41:00,1578.5,1579.2,1578.5,1579,3386
RELIANCE,2026-01-01 10:42:00,1579.2,1579.5,1578.8,1578.9,7255
RELIANCE,2026-01-01 10:43:00,1578.9,1579.8,1578.9,1579.7,3431
RELIANCE,2026-01-01 10:44:00,1578.7,1579,1578.7,1579,4563
RELIANCE,2026-01-01 10:45:00,1578.9,1579,1578.7,1579,2915
RELIANCE,2026-01-01 10:46:00,1578.8,1580.9,1578.8,1580.9,47841
RELIANCE,2026-01-01 10:47:00,1581,1582.2,1580.6,1581.5,13218
RELIANCE,2026-01-01 10:48:00,1581.9,1582.5,1581.4,1582,4649
RELIANCE,2026-01-01 10:49:00,1582,1583.1,1581.8,1582.8,14782
RELIANCE,2026-01-01 10:50:00,1582.8,1582.8,1581.5,1581.5,6469
RELIANCE,2026-01-01 10:51:00,1581.8,1581.9,1580.8,1581.8,5314
RELIANCE,2026-01-01 10:52:00,1581.8,1581.8,1581.1,1581.8,1612
RELIANCE,2026-01-01 10:53:00,1581.8,1581.8,1581.4,1581.7,2032
RELIANCE,2026-01-01 10:54:00,1581.7,1582,1581.5,1582,2955
RELIANCE,2026-01-01 10:55:00,1581.6,1581.9,1580.2,1581.7,12087
RELIANCE,2026-01-01 10:56:00,1581.7,1582,1581.1,1581.9,1424
RELIANCE,2026-01-01 10:57:00,1581.9,1582,1580.4,1580.7,7720
RELIANCE,2026-01-01 10:58:00,1580.5,1580.9,1580.1,1580.5,2755
RELIANCE,2026-01-01 10:59:00,1580.5,1581,1580.1,1581,2268
RELIANCE,2026-01-01 11:00:00,1580.9,1580.9,1579.8,1579.8,6297
RELIANCE,2026-01-01 11:01:00,1580,1581.6,1580,1581.1,7884
RELIANCE,2026-01-01 11:02:00,1581.1,1581.5,1580.8,1581.3,3096
RELIANCE,2026-01-01 11:03:00,1581.3,1581.6,1581,1581.6,3024
RELIANCE,2026-01-01 11:04:00,1581.6,1581.6,1580.5,1580.6,3913
RELIANCE,2026-01-01 11:05:00,1580.7,1581.6,1580.7,1580.9,2662
RELIANCE,2026-01-01 11:06:00,1581.2,1581.6,1580.8,1581.6,3496
RELIANCE,2026-01-01 11:07:00,1581.6,1581.7,1581.1,1581.7,2445
RELIANCE,2026-01-01 11:08:00,1581.5,1581.9,1581.1,1581.5,2442
RELIANCE,2026-01-01 11:09:00,1580.5,1581.5,1580.5,1581,10134
RELIANCE,2026-01-01 11:10:00,1581,1582,1580.6,1582,27405
RELIANCE,2026-01-01 11:11:00,1581.5,1582,1580.7,1581,4450
RELIANCE,2026-01-01 11:12:00,1580.9,1581.7,1580.7,1581.2,4500
RELIANCE,2026-01-01 11:13:00,1581.2,1581.8,1580.7,1580.7,8149
RELIANCE,2026-01-01 11:14:00,1580.5,1581.3,1580.4,1580.4,4382
RELIANCE,2026-01-01 11:15:00,1580.4,1580.8,1580.4,1580.8,2241
RELIANCE,2026-01-01 11:16:00,1580.6,1580.8,1580.4,1580.5,3049
RELIANCE,2026-01-01 11:17:00,1580.4,1581,1580.3,1580.6,1786
RELIANCE,2026-01-01 11:18:00,1580.6,1581.3,1580.1,1580.4,46930
RELIANCE,2026-01-01 11:19:00,1580,1580.6,1579.9,1580,3032
RELIANCE,2026-01-01 11:20:00,1580,1580.2,1580,1580,1514
RELIANCE,2026-01-01 11:21:00,1580.2,1580.5,1580,1580.5,3181
RELIANCE,2026-01-01 11:22:00,1580.5,1580.5,1580,1580.3,5716
RELIANCE,2026-01-01 11:23:00,1580,1580.5,1580,1580.1,1434
RELIANCE,2026-01-01 11:24:00,1580.3,1580.6,1580,1580.2,4326
RELIANCE,2026-01-01 11:25:00,1580,1580.6,1580,1580,3264
RELIANCE,2026-01-01 11:26:00,1579.9,1580,1579.9,1580,2538
RELIANCE,2026-01-01 11:27:00,1580.1,1580.4,1579.6,1579.6,15693
RELIANCE,2026-01-01 11:28:00,1579.6,1579.7,1578.6,1579,4484
RELIANCE,2026-01-01 11:29:00,1579,1579.5,1578.7,1579,4018
RELIANCE,2026-01-01 11:30:00,1578.8,1579,1578.1,1578.1,16643
RELIANCE,2026-01-01 11:31:00,1578.6,1579.5,1578.1,1578.9,6154
RELIANCE,2026-01-01 11:32:00,1578.9,1579.1,1578.4,1578.6,3088
RELIANCE,2026-01-01 11:33:00,1578.4,1579.1,1578,1578.5,3593
RELIANCE,2026-01-01 11:34:00,1578.2,1578.4,1577.2,1577.7,6540
RELIANCE,2026-01-01 11:35:00,1577.6,1577.9,1576.3,1576.8,12588
RELIANCE,2026-01-01 11:36:00,1576.8,1577.5,1576.5,1576.7,10562
RELIANCE,2026-01-01 11:37:00,1577.3,1578,1576.7,1577.9,3884
RELIANCE,2026-01-01 11:38:00,1577.9,1578.4,1577.6,1578,3507
RELIANCE,2026-01-01 11:39:00,1577.8,1578.5,1577.6,1578.2,4218
RELIANCE,2026-01-01 11:40:00,1577.8,1578.2,1577.3,1578,1267
RELIANCE,2026-01-01 11:41:00,1578,1578,1577.5,1577.6,1746
RELIANCE,2026-01-01 11:42:00,1577.6,1578,1577.6,1577.6,1363
RELIANCE,2026-01-01 11:43:00,1577.5,1577.9,1577.1,1577.1,2458
RELIANCE,2026-01-01 11:44:00,1577.4,1577.5,1577.4,1577.5,5569
RELIANCE,2026-01-01 11:45:00,1577.1,1577.9,1577.1,1577.9,7010
RELIANCE,2026-01-01 11:46:00,1577.7,1577.9,1577.6,1577.7,1402
RELIANCE,2026-01-01 11:47:00,1577.7,1577.7,1577.3,1577.3,1514
RELIANCE,2026-01-01 11:48:00,1577.3,1577.7,1577.2,1577.7,2403
RELIANCE,2026-01-01 11:49:00,1577.5,1577.7,1577.3,1577.5,4828
RELIANCE,2026-01-01 11:50:00,1577.7,1577.7,1576.9,1577.2,6267
RELIANCE,2026-01-01 11:51:00,1577.1,1577.7,1577.1,1577.2,2627
RELIANCE,2026-01-01 11:52:00,1577.2,1577.7,1576.8,1576.8,3549
RELIANCE,2026-01-01 11:53:00,1576.2,1577,1576.1,1576.4,6532
RELIANCE,2026-01-01 11:54:00,1576.5,1577.5,1576.5,1576.6,5670
RELIANCE,2026-01-01 11:55:00,1576.6,1577.1,1576.6,1577.1,9353
RELIANCE,2026-01-01 11:56:00,1577.4,1577.9,1576.7,1576.7,9094
RELIANCE,2026-01-01 11:57:00,1577.1,1577.3,1576.7,1577.3,1183
RELIANCE,2026-01-01 11:58:00,1577.1,1577.4,1577,1577,2718
RELIANCE,2026-01-01 11:59:00,1577,1577.3,1577,1577.3,2001
RELIANCE,2026-01-01 12:00:00,1577.2,1577.7,1577.1,1577.3,4250
RELIANCE,2026-01-01 12:01:00,1577.3,1577.8,1577.3,1577.6,1211
RELIANCE,2026-01-01 12:02:00,1577.5,1577.7,1577.4,1577.5,4056
RELIANCE,2026-01-01 12:03:00,1577.7,1577.9,1577.3,1577.3,2345
RELIANCE,2026-01-01 12:04:00,1577.4,1577.4,1577,1577,5321
RELIANCE,2026-01-01 12:05:00,1577,1577.2,1576.7,1576.7,4105
RELIANCE,2026-01-01 12:06:00,1576.7,1577.1,1576.7,1577,1573
RELIANCE,2026-01-01 12:07:00,1577,1577.3,1576.8,1576.8,4291
RELIANCE,2026-01-01 12:08:00,1576.8,1577.3,1576.2,1576.2,2784
RELIANCE,2026-01-01 12:09:00,1576.2,1576.6,1576,1576,12342
RELIANCE,2026-01-01 12:10:00,1576,1576.7,1575.7,1576.3,3505
RELIANCE,2026-01-01 12:11:00,1576.1,1576.6,1576.1,1576.6,4284
RELIANCE,2026-01-01 12:12:00,1576.4,1577,1576.2,1576.8,6342
RELIANCE,2026-01-01 12:13:00,1577,1578,1576.5,1577.5,17162
RELIANCE,2026-01-01 12:14:00,1577.8,1578.5,1577.6,1578.1,48600
RELIANCE,2026-01-01 12:15:00,1577.7,1578.3,1577.1,1578.2,22472
RELIANCE,2026-01-01 12:16:00,1577.8,1578.3,1576.5,1576.7,22521
RELIANCE,2026-01-01 12:17:00,1576.5,1576.5,1575.2,1575.2,22694
RELIANCE,2026-01-01 12:18:00,1575.5,1575.5,1575,1575.1,16874
RELIANCE,2026-01-01 12:19:00,1575.1,1576,1574.3,1576,58028
RELIANCE,2026-01-01 12:20:00,1575.8,1576.5,1575.5,1576.1,13056
